train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,33,203,114931.796875,230.42471313476562,,,,
,33,203,,,129828.625,240.9913330078125,,
162.4853515625,34,204,,,,,,
212.04638671875,34,209,,,,,,
,34,209,115960.3671875,234.58935546875,,,,
,34,209,,,135628.890625,237.09446716308594,,
253.19873046875,35,214,,,,,,
,35,215,111678.09375,227.3401336669922,,,,
,35,215,,,112973.0546875,215.77706909179688,,
252.94302368164062,36,219,,,,,,
,36,221,143106.265625,250.34278869628906,,,,
,36,221,,,130526.1796875,235.88873291015625,,
224.23802185058594,37,224,,,,,,
,37,227,135920.328125,244.7956085205078,,,,
,37,227,,,137456.21875,245.51742553710938,,
245.49649047851562,38,229,,,,,,
,38,233,107365.1171875,239.95533752441406,,,,
,38,233,,,119372.8359375,230.76611328125,,
250.97808837890625,39,234,,,,,,
199.40931701660156,39,239,,,,,,
,39,239,102426.09375,217.9508819580078,,,,
,39,239,,,101171.6796875,220.84933471679688,,
219.94036865234375,40,244,,,,,,
,40,245,111266.4765625,222.0341339111328,,,,
,40,245,,,113683.8828125,225.5830078125,,
207.25698852539062,41,249,,,,,,
,41,251,109882.296875,220.71649169921875,,,,
,41,251,,,112247.2265625,219.19500732421875,,
179.76083374023438,42,254,,,,,,
,42,257,96417.3203125,224.04803466796875,,,,
,42,257,,,94067.8515625,212.2409210205078,,
196.39434814453125,43,259,,,,,,
,43,263,98547.6796875,225.19349670410156,,,,
,43,263,,,147602.671875,252.09515380859375,,
193.5951690673828,44,264,,,,,,
191.99887084960938,44,269,,,,,,
,44,269,94222.140625,211.94854736328125,,,,
,44,269,,,112292.171875,226.01182556152344,,
219.9200897216797,45,274,,,,,,
,45,275,104263.09375,215.21360778808594,,,,
,45,275,,,97885.5859375,213.7154083251953,,
176.69369506835938,46,279,,,,,,
,46,281,132240.9375,276.9994812011719,,,,
,46,281,,,131006.375,230.00067138671875,,
193.1400909423828,47,284,,,,,,
,47,287,101768.828125,226.17408752441406,,,,
,47,287,,,141455.75,256.12811279296875,,
255.47825622558594,48,289,,,,,,
,48,293,121186.953125,263.98388671875,,,,
,48,293,,,89826.859375,205.27108764648438,,
338.38446044921875,49,294,,,,,,
198.86729431152344,49,299,,,,,,
,49,299,104098.5703125,229.50112915039062,,,,
,49,299,,,108526.796875,236.13345336914062,,
,50,300,,,,,104098.5703125,229.50112915039062
